	CAVIAR-Asian	CAVIAR-Euro	PAINTOR	MsCAVIAR
locus_chromosome_4_bp_87518991_to_88518991	242	68	103	89
locus_chromosome_4_bp_89230074_to_90230074	111	65	78	65
locus_chromosome_4_bp_99761577_to_100761577	160	110	100	83
locus_chromosome_5_bp_103434169_to_104434169	44	35	26	23
locus_chromosome_5_bp_110726812_to_111726812	79	73	69	63
locus_chromosome_5_bp_126850549_to_127850549	49	35	21	19
locus_chromosome_5_bp_157499022_to_158499022	122	109	71	87
locus_chromosome_5_bp_55304552_to_56304552	88	9	6	9
locus_chromosome_5_bp_74503678_to_75503678	78	58	49	41
locus_chromosome_7_bp_551664_to_1551664	195	85	65	51
locus_chromosome_7_bp_106289152_to_107289152	63	41	46	34
locus_chromosome_7_bp_129938531_to_130938531	70	31	37	29
locus_chromosome_7_bp_150040196_to_151040196	407	203	105	187
locus_chromosome_7_bp_17420253_to_18420253	359	230	221	252
locus_chromosome_7_bp_25897239_to_26897239	73	54	53	48
locus_chromosome_7_bp_35710924_to_36710924	114	80	86	75
locus_chromosome_7_bp_49806810_to_50806810	32	32	34	30
locus_chromosome_7_bp_5970622_to_6970622	111	82	54	66
locus_chromosome_7_bp_72539406_to_73539406	117	68	90	78
locus_chromosome_7_bp_79842775_to_80842775	148	173	68	69
locus_chromosome_8_bp_103383630_to_104383630	45	2	35	11
locus_chromosome_8_bp_116103103_to_117103103	216	113	24	110
locus_chromosome_8_bp_12123463_to_13123463	24	21	24	22
locus_chromosome_8_bp_8683358_to_9683358	96	10	24	9
locus_chromosome_8_bp_121367780_to_122367780	79	70	15	25
locus_chromosome_8_bp_125980367_to_126980367	73	36	40	27
locus_chromosome_8_bp_143806597_to_144806597	58	35	40	33
locus_chromosome_8_bp_18751679_to_19751679	13	7	5	4
locus_chromosome_8_bp_19324667_to_20324667	55	24	6	18
locus_chromosome_8_bp_19941920_to_20941920	10	3	6	3
locus_chromosome_8_bp_70838185_to_71838185	325	314	298	285
locus_chromosome_8_bp_9277873_to_10277873	51	12	24	9
locus_chromosome_9_bp_106574213_to_107574213	8	22	9	14
locus_chromosome_9_bp_107161742_to_108161742	6	3	5	3
locus_chromosome_9_bp_123131225_to_124131225	109	121	70	103
locus_chromosome_9_bp_139487756_to_140487756	38	32	33	31
locus_chromosome_9_bp_14804782_to_15804782	52	11	14	10
locus_chromosome_9_bp_94882297_to_95882297	121	101	98	96
